pheno	phenoname	n	mean	sd	min	max	Q1	Q2	Q3	skew	kurtosis	levels
gmres	Grey matter	335	-1.25998532710156e-16	2.99228367604923	-7.26288596745648	8.74351699696794	-1.88884397483711	0.0770182298578018	2.06042353797884	-0.0192370521977533	-0.189028154659983	NA
wmres	White matter	335	-8.98373156545884e-17	3.71132714533744	-12.0699359732202	9.49109932413519	-2.56927412110891	-0.00485114534712114	2.439172758804	0.00667901986184764	-0.082584532221059	NA
gwmres	Grey and white matter	335	1.35567345077829e-17	3.17301707339857	-9.02526031547643	8.15163576565776	-2.26164759123445	0.0491465365029255	2.19064724597165	0.0494804632770727	-0.285788170840432	NA
Educ_final	Years of education	300	14.0466666666667	2.87902498050122	7	18	11.5	13	18	0.140843642129941	-1.29406270270601	NA
hnetto	Household income	221	2375.51583710407	1258.89462551762	430	10000	1600	2200	2800	2.08637249771606	8.32147770421203	NA
MMSE_Summe	Mini-mental state examination	326	28.521472392638	1.48567487203268	18	30	28	29	30	-2.4550964153529	11.7532810321888	NA
GDS_Summe	Geriatric depression scale	327	1.14591524683268	1.63807462538612	0	10	0	1	2	2.05063036108251	5.15051418747772	NA
CESD_Summe	CES-Depression	327	6.41622404635442	5.94257541849008	0	31	2	5	9	1.51153165725234	2.28943496454047	NA
Rauchen_aktuell_inverted	Smoking status	278	0.701438848920863	0.867003271702219	0	3	0	1	1	1.42219392176414	1.61480156240914	‘never’: 134, ‘stopped more than a year ago’: 117, ‘stopped less than a year ago’: 3, ‘current smoker’: 24
Alkohol_haufigkeit	Frequency of alcohol intake	163	2.61349693251534	1.14571209930624	0	4	2	3	4	-0.245250811241981	-1.0952363590409	‘never’: 3, ‘once a month or less’: 30, ‘two to four times a month’: 42, ‘two to four times a week’: 40, ‘four times a week or more’: 48
Alkohol_Menge	Amount of alcohol intake	160	0.275	0.525452784682713	0	2	0	0	0	1.77597514307391	2.31140023155148	‘one to two glasses’: 122, ‘three to four glasses’: 32, ‘five to six glasses’: 6, ‘seven to nine glasses’: 0, ‘ten or more glasses’: 0
Alkohol_6Glaser	Frequency of 6 glasses of alcohol intake	161	0.304347826086957	0.592067123104188	0	3	0	0	1	2.35560458109074	6.68045498163661	‘never’: 120, ‘less than once a month’: 36, ‘once a month’: 2, ‘once a week’: 3, ‘daily or almost daily’: 0
CH_Diabetes	Diabetes diagnosis	328	0.103658536585366	0.305282792426924	0	1	0	0	0	2.61248269491261	4.85463049400978	controls: 294, cases: 34
HOMAIR	HOMA-Insulin resistance	318	2.6098427672956	3.24347911316449	0.1	45.71	1.2825	1.855	2.985	8.70643418025241	104.35702101299	NA
HbA1c	HbA1c	322	5.58012422360248	0.552515614955491	4.7	9.8	5.3	5.5	5.8	2.89578900543387	15.7378597719498	NA
BZP1	Fasting glucose	294	96.4115646258503	21.179808843874	67	241	86	91	100	3.45206263012907	16.9339453389136	NA
BZP2	Post-load glucose	276	110.391304347826	38.2366667970292	27	275	86.75	102.5	123.25	1.607527682263	3.47251528376021	NA
BMI	Body mass index	327	26.6921401758701	3.4629872670871	18.5901249256395	40.1632653061224	24.2930171863639	26.5554587109908	28.9266934070637	0.38807465871884	0.471977293650826	NA
RRdi	Diastolic blood pressure	281	84.7188612099644	10.9425104908052	50	130	77	85	92	0.385981974888945	1.11463087024064	NA
RRsy	Systolic blood pressure	281	145.523131672598	18.1249728713224	80	205	133	145	156	0.261741143452763	0.736875116321698	NA
finalMetLscore	Metabolic load factor	321	0.00658753894080997	0.138289820555371	-0.2376	0.7737	-0.0823	-0.0206	0.0667	1.77599044413348	6.14072031843236	NA
GammaGTGGTUL	Gamma-glutamyl-transferase	327	30.0825688073394	29.0783145351149	6	273	16	22	33	4.83713123554902	30.4886928186041	NA
HarnsaeuremgdL	Uric acid	327	5.47798165137615	1.28232614063297	2.6	9.6	4.6	5.5	6.2	0.396473262775811	0.46076034020607	NA
TNF1	Tumor necrosis factor-alpha	307	0.823626932797146	3.4837601820824	0	47.7444290370709	0	0.139552388135893	0.44290385336285	10.3035571323523	124.14578806485	NA
DS2_corr	Digit symbol substitution test	324	44.9320987654321	9.78191073486617	16	90	39	44	50	0.378374643201825	1.04400758493934	NA
EM_final	Episodic memory	335	0.0285050746268657	0.335344353096652	-0.9039	1.0389	-0.20365	0.0477	0.26035	-0.0270699816886518	-0.130872195875813	NA
WM_final	Working memory	335	0.0466773134328358	0.607409057650702	-1.3857	2.1855	-0.362	0.0659	0.45685	-0.00700014367663503	0.113318751067807	NA
Gf_final	Fluid intelligence	335	0.0348985074626866	0.712395002599193	-1.521	2.4452	-0.50035	0.1106	0.5386	-0.0494344371755513	-0.177230048442513	NA
futi_mean	Future time perspective	332	2.64511378848728	0.694399339302073	1	4.9	2.175	2.65	3.1	0.343156070819376	0.13211102018389	NA
cfc_mean	Consideration of future consequences	335	3.23560767590618	0.468071909811658	2	4.85714285714286	2.85714285714286	3.28571428571429	3.57142857142857	0.289237578918384	0.18755049512894	NA
