pheno	phenoname	hypothesis	n	ncovs	gm_estimate	gm_t.statistic	gm_p.value	wm_estimate	wm_t.statistic	wm_p.value	gwm_estimate	gwm_t.statistic	gwm_p.value
Educ_final	Years of education	-	300	4	-0.0331386603443328	-0.568521913056134	0.285057310775202	-0.143289205012043	-2.48251549156757	0.00680194881519544	-0.115833326288437	-1.9995877073844	0.0232323718732793
hnetto	Household income	-	221	4	-0.130876285506334	-1.93567232980326	0.027109600360756	-0.145094701664875	-2.15026049914804	0.0163253810331854	-0.158070227090464	-2.3472747398669	0.00991002762563678
MMSE_Summe	Mini-mental state examination	-	326	4	-0.0409305640872579	-0.732802282449595	0.232107731226163	-0.0868420501649376	-1.55936897094694	0.0599487409566625	-0.0794220639589825	-1.42524731581412	0.0775301770400275
GDS_Summe	Geriatric depression scale	+	327	4	0.0380395127779146	0.682027525661058	0.247856680482806	0.032856817957065	0.58899630479657	0.278139003649282	0.0406119887466156	0.728224384772634	0.233503562580593
CESD_Summe	CES-Depression	+	327	4	-0.0364218990640461	-0.652985220400071	0.742883399817601	-0.000332707510078973	-0.00596094540695456	0.502376207680032	-0.0121958113165519	-0.218522174405682	0.586419427354871
Rauchen_aktuell_inverted	Smoking status	+	278	4	0.0565489065865256	0.934123215132917	0.175534423161576	0.0188041951366239	0.310181575615114	0.378330203988646	0.0349247654184001	0.576345589994435	0.282429108775899
Alkohol_haufigkeit	Frequency of alcohol intake	+	163	4	-0.0352338800867922	-0.441753539488597	0.670362293845398	-0.0782009325973049	-0.982864784392173	0.836406904878157	-0.0769441441678318	-0.966974049564736	0.832477901050297
Alkohol_Menge	Amount of alcohol intake	+	160	4	0.0763672916422888	0.950468768685377	0.171681695071099	0.0329958059320008	0.409690263686622	0.341301239680387	0.0510018204989306	0.633740723092206	0.263595089973633
Alkohol_6Glaser	Frequency of 6 glasses of alcohol intake	+	161	4	0.0054875053363563	0.0683199191379279	0.472809511116959	0.158897486792131	2.00371477900383	0.0234215120458477	0.105690828348397	1.32325168240625	0.0938501615769508
CH_Diabetes	Diabetes diagnosis	+	328	4	0.0147793593311375	0.265235090585416	0.395499040797531	0.0756415236778118	1.36123845885306	0.0871950754402958	0.0608965910116621	1.094782084735	0.137215169623663
HOMAIR	HOMA-Insulin resistance	+	318	4	0.0464880502193825	0.822031427804662	0.205843379297193	0.0446042700588991	0.788653413270221	0.215456718140544	0.0536294911561405	0.948650882865201	0.171766203301318
HbA1c	Hemoglobin A1c	+	322	4	0.0269215002636873	0.478740575872593	0.316227138949619	0.032754831249041	0.582575216713003	0.280297374088132	0.0395001863707395	0.702719099884334	0.241374083014112
BZP1	Fasting glucose	+	294	4	0.0433200841009513	0.735856995287038	0.23120830630146	0.136204865504401	2.33321718495917	0.0101625723258407	0.115824818140009	1.97893123004158	0.0243880459782986
BZP2	Post-load glucose	+	276	4	-0.00921644257872836	-0.151448037357436	0.560132303529969	0.0835407462149125	1.37752988081548	0.0847446284516	0.0583232907923889	0.959983593797326	0.168961172241401
BMI	Body mass index	+	327	4	-0.0802506453769265	-1.44246085678144	0.924926296563421	-0.102800012462694	-1.85162345258915	0.967500956779847	-0.104236725292816	-1.87778365877873	0.969341377317925
