Row	n	rho_gm	rho_wm	rho_gwm	p_gm	p_wm	p_gwm
Educ_final	300	-0.0331386603443326	-0.143289205012043	-0.115833326288438	0.285057310775139	0.00680194881519746	0.0232323718732856
hnetto	221	-0.130876285506334	-0.145094701664875	-0.158070227090464	0.0271096003607551	0.016325381033185	0.00991002762563634
MMSE_Summe	326	-0.0409305640872574	-0.0868420501649374	-0.0794220639589824	0.232107731226139	0.0599487409566209	0.0775301770399871
GDS_Summe	327	0.0380395127779129	0.0328568179570635	0.0406119887466151	0.247856680482758	0.27813900364924	0.233503562580535
CESD_Summe	327	-0.0364218990640462	-0.000332707510078995	-0.0121958113165517	0.742883399817657	0.502376207680033	0.586419427354889
Rauchen_aktuell_inverted	278	0.0565489065865272	0.0188041951366231	0.0349247654184006	0.175534423161548	0.378330203988643	0.282429108775882
Alkohol_haufigkeit	163	-0.035233880086795	-0.0782009325973066	-0.0769441441678317	0.670362293845406	0.836406904878152	0.832477901050288
Alkohol_Menge	160	0.076367291642289	0.0329958059320008	0.0510018204989303	0.171681695071087	0.341301239680382	0.263595089973626
Alkohol_6Glaser	161	0.00548750533635608	0.15889748679213	0.105690828348396	0.472809511116961	0.0234215120458468	0.0938501615769695
CH_Diabetes	328	0.0147793593311366	0.0756415236778114	0.0608965910116621	0.395499040797547	0.0871950754403386	0.137215169623699
HOMAIR	318	0.0464880502193826	0.0446042700588994	0.0536294911561405	0.205843379297198	0.215456718140548	0.171766203301324
HbA1c	322	0.0269215002636875	0.0327548312490414	0.0395001863707417	0.316227138949618	0.28029737408813	0.241374083014101
BZP1	294	0.0433200841009518	0.1362048655044	0.115824818140009	0.23120830630147	0.0101625723258406	0.0243880459782975
BZP2	276	-0.00921644257872811	0.0835407462149127	0.058323290792389	0.560132303529974	0.0847446284515544	0.168961172241364
BMI	327	-0.0802506453769283	-0.102800012462694	-0.104236725292818	0.924926296563522	0.967500956779841	0.96934137731792
RRdi	281	0.0904320229890354	0.131012761914283	0.124350755867304	0.0666311651252085	0.0146275632368112	0.0193066381352729
RRsy	281	0.0092623407162609	0.0530764932217418	0.0367544427888011	0.439016872812665	0.189431081468992	0.271210683806146
finalMetLscore	321	-0.0458483201087085	0.0393127283012409	0.0093037224596646	0.792036938956234	0.242761284249774	0.434473067199688
GammaGTGGTUL	327	-0.0225332778731851	0.0495285169842854	0.0224072387622652	0.656692791375552	0.187477504402913	0.344137719825183
HarnsaeuremgdL	327	0.0410294955175958	0.084672179031729	0.0751222795315125	0.231218151740964	0.0644348792235973	0.0890251964434646
TNF1	307	0.0875902099188972	0.0660167541943994	0.0826035856945437	0.064092667634838	0.125970585807682	0.0757317495078629
DS2_corr	324	-0.171255424450501	-0.136006068178683	-0.176117845675558	0.00105511142850378	0.00745097301874677	0.000780971892541227
EM_final	335	-0.0826292623697491	-0.134836597965238	-0.130283094105132	0.0667829761388982	0.0070426987378628	0.00885940989179578
WM_final	335	-0.0831875599820204	-0.15014371582358	-0.139691599994971	0.065475988167382	0.00310178833453228	0.00547424711601737
Gf_final	335	-0.066018223268151	-0.134979244911853	-0.123034428363781	0.115485817101059	0.00699150751678762	0.0125955923611989
futi_mean	332	0.0266646890059698	0.03647895450841	0.0362927227264759	0.684798605677011	0.744846241533698	0.743764728371055
cfc_mean	335	0.0236421995443921	-0.033997277799216	-0.0158829517110635	0.665880029863782	0.268826966133604	0.38671547758274
