pheno	phenoname	hypothesis	n	ncovs	gm_estimate	gm_t.statistic	gm_p.value	wm_estimate	wm_t.statistic	wm_p.value	gwm_estimate	gwm_t.statistic	gwm_p.value
Educ_final	Years of education	-	300	3	-0.0375923445675536	-0.646126430730088	0.259349895851038	-0.143786337201335	-2.49554324193726	0.00656135518840768	-0.118411998899872	-2.0482028979802	0.0207125504909613
hnetto	Household income	-	221	3	-0.129205468500874	-1.9149764517549	0.028408252883776	-0.145147967748126	-2.1560635499678	0.0160919058673972	-0.157406575357752	-2.34259784963632	0.0100297567074864
MMSE_Summe	Mini-mental state examination	-	326	3	-0.0382599646951329	-0.685985884842801	0.246608581730153	-0.0858587294279941	-1.54398704419605	0.0617883578900667	-0.0773220873371906	-1.3894990093486	0.0828220322888334
GDS_Summe	Geriatric depression scale	+	327	3	0.0317876624723874	0.570697614672049	0.28430133783032	0.0308046644257283	0.553032396291897	0.290312481652601	0.0359576661863767	0.645654786789994	0.259481385320984
CESD_Summe	CES-Depression	+	327	3	-0.0370264451967695	-0.664871716345657	0.746695781543761	-0.000553540415758559	-0.00993292915588473	0.503959524691779	-0.01269143164568	-0.227757942131469	0.59001051212463
Rauchen_aktuell_inverted	Smoking status	+	278	3	0.053694274210484	0.888456677706748	0.187538639935582	0.017379240044345	0.287195547064939	0.387090231553666	0.0327304849857345	0.54108627168922	0.294444680135193
Alkohol_haufigkeit	Frequency of alcohol intake	+	163	3	-0.0494008259389897	-0.621717849805654	0.732488270869112	-0.0761588188832593	-0.960089898652039	0.830761552641135	-0.0826359825856195	-1.0422830126504	0.850563668376688
Alkohol_Menge	Amount of alcohol intake	+	160	3	0.0705369630760158	0.880370965919369	0.190010674851529	0.0340234366082719	0.423833754542286	0.336137325219585	0.0492204582222818	0.613533403128661	0.270211509616148
Alkohol_6Glaser	Frequency of 6 glasses of alcohol intake	+	161	3	0.0200350693568362	0.250288174442112	0.401346908628986	0.155525829423423	1.96644503228735	0.0255108731551507	0.110554863855634	1.38934646926245	0.0833536495680443
CH_Diabetes	Diabetes diagnosis	+	328	3	0.0128685428322499	0.231295187177788	0.408615967023298	0.0750443321836315	1.3525256575026	0.0885766526745524	0.0594494005501286	1.07032963180852	0.142635056740573
HOMAIR	HOMA-Insulin resistance	+	318	3	0.0469977638877094	0.832395122869421	0.202910300814412	0.0447867647383769	0.793154629312336	0.214144278199172	0.0540213855607759	0.957133500493994	0.169619282356181
HbA1c	Hemoglobin A1c	+	322	3	0.019621323845496	0.349415007270882	0.36350488452069	0.0306069985104396	0.54519754285739	0.293000520218497	0.034196033092959	0.609199353204711	0.271414327972316
BZP1	Fasting glucose	+	294	3	0.0403286427531835	0.686145126880912	0.246585845467609	0.134264867465224	2.30335855178357	0.0109842654953409	0.11299368426446	1.93327388652201	0.0270895312281495
BZP2	Post-load glucose	+	276	3	-0.00839485016499801	-0.138201544994629	0.554908116229062	0.08392831131327	1.38652632534301	0.0833629047917935	0.0589437370098802	0.972026430773315	0.165952090958559
BMI	Body mass index	+	327	3	-0.0737573575374777	-1.32714331251845	0.907299233568899	-0.100689740588514	-1.81604215175979	0.964853117549271	-0.0994320226797063	-1.79312996741789	0.963054740335201
RRdi	Diastolic blood pressure	+	281	3	0.0905405891519635	1.51037670712752	0.0660456619142257	0.131078223520526	2.19658708913888	0.0144407742291331	0.12443568972642	2.08347437927447	0.0190640574199359
RRsy	Systolic blood pressure	+	281	3	0.0150302959224416	0.249730239399116	0.401490868736886	0.0544286818424465	0.905579551059177	0.18297414224028	0.0404564106125454	0.672663077981361	0.25086221753749
finalMetLscore	Metabolic load factor	+	321	3	-0.045430195076475	-0.8084194929665	0.790271338711968	0.0394514677897797	0.701851031115553	0.241644334123479	0.00958262850682619	0.170352352027774	0.432421028586093
GammaGTGGTUL	Gamma-glutamyl-transferase	+	327	3	-0.0225559700961472	-0.404855415087679	0.657073695088797	0.0494899641919634	0.889155209056784	0.187291718029231	0.022320812721243	0.40063247797815	0.344478208972249
HarnsaeuremgdL	Uric acid	+	327	3	0.0465005443821774	0.835326038015212	0.202076762394874	0.08626645502513	1.55378855794028	0.0606085723255843	0.0790294328607186	1.42258190446708	0.0779127030574499
TNF1	Tumor necrosis factor-alpha	+	307	3	0.0837792522424122	1.46106478672836	0.0725186472119962	0.0648835330102309	1.12993654041766	0.129699800944399	0.0799387499607088	1.39364734526977	0.0822244177043514
DS2_corr	Digit symbol task	-	324	3	-0.173677800740275	-3.14985453076248	0.000894102503766558	-0.136826048999613	-2.46699322569955	0.00707512932849825	-0.1779374626213	-3.22960336665352	0.000684381497606662
EM_final	Episodic memory	-	335	3	-0.0954498110213755	-1.74188494695516	0.0412301567363192	-0.135999776316625	-2.49372818362697	0.00656503743096296	-0.137790138716354	-2.52718788969031	0.00598232360141188
WM_final	Working memory	-	335	3	-0.093309018653021	-1.70247004246576	0.0448044856472125	-0.151408209819573	-2.78254579552505	0.00285192254767523	-0.145833380774959	-2.67782308492838	0.00389045831521366
Gf_final	Fluid intelligence	-	335	3	-0.0750554843504234	-1.3673072653818	0.0862297942373335	-0.13648486664211	-2.50279146104881	0.00640241489920561	-0.12872731064005	-2.35806677352175	0.00947667316057467
futi_mean	Future time perspective	-	332	3	0.0288451527760802	0.521828110895108	0.698928355823722	0.0374909699807784	0.678431468466282	0.751011008753762	0.0381233685302895	0.689891784356253	0.754624223540419
cfc_mean	Consideration of future consequences	-	335	3	0.0299100066642906	0.543585456098497	0.706453104761477	-0.0319211274925444	-0.580171738499164	0.281097367004455	-0.0111546606931468	-0.202647082105896	0.419767884238019
